trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1957,False,"{'a': 0.5, 'e': 0.55826766570455288}",35,0,-36.74580396961142,"{0: 29, 1: 3, 2: 2, 3: 0, 4: 1}",0
1958,False,"{'a': 0.5, 'e': 0.55785276548704288}",30,8,-75.12179569680211,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 1}",1
1959,False,"{'a': 0.5, 'e': 0.55743772580634432}",20,0,-37.255026136947464,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
1960,False,"{'a': 0.5, 'e': 0.55702254676621732}",20,6,6.860227045002804,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
1961,False,"{'a': 0.5, 'e': 0.55660722847045641}",25,15,3.9755452058139262,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1962,False,"{'a': 0.5, 'e': 0.55619177102289141}",30,0,-114.76100789575442,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
1963,False,"{'a': 0.5, 'e': 0.55577617452738637}",20,0,-71.73095650359208,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
1964,False,"{'a': 0.5, 'e': 0.55536043908784083}",20,0,-34.11204852494797,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
1965,False,"{'a': 0.5, 'e': 0.55494456480818821}",20,0,3.60390066098217,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
1966,False,"{'a': 0.5, 'e': 0.55452855179239735}",20,0,-121.86898848714364,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
1967,False,"{'a': 0.5, 'e': 0.55411240014447138}",20,8,4.567894341785703,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
1968,False,"{'a': 0.5, 'e': 0.55369610996844842}",25,0,-41.770256313543925,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
1969,False,"{'a': 0.5, 'e': 0.55327968136840067}",25,0,-97.12611897421502,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
1970,False,"{'a': 0.5, 'e': 0.55286311444843561}",20,10,-23.647735677310376,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
1971,False,"{'a': 0.5, 'e': 0.55244640931269462}",25,13,-17.046251200119677,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
1972,False,"{'a': 0.5, 'e': 0.55202956606535436}",30,0,-84.44535320178365,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
1973,False,"{'a': 0.5, 'e': 0.55161258481062536}",20,0,-6.583437269957821,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
1974,False,"{'a': 0.5, 'e': 0.55119546565275312}",25,0,-51.573424979726376,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
1975,False,"{'a': 0.5, 'e': 0.55077820869601724}",20,0,-74.3994913871473,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
1976,False,"{'a': 0.5, 'e': 0.55036081404473214}",25,2,-13.179433361811835,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 0}",1
1977,False,"{'a': 0.5, 'e': 0.54994328180324636}",25,15,-3.1194249557106977,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
1978,False,"{'a': 0.5, 'e': 0.54952561207594297}",20,0,-46.41683157282709,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
1979,False,"{'a': 0.5, 'e': 0.54910780496723943}",35,16,-14.122289139157811,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
1980,False,"{'a': 0.5, 'e': 0.54868986058158753}",20,11,8.382900588733559,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
