trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
113,False,"{'a': 0.5, 'e': 0.99362229074910124}",20,0,-100.23280638259477,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.99350903428613424}",20,0,-127.67758384027121,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.9933947843142158}",25,0,-78.51178927929979,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.99327954094759585}",20,9,-22.007023182287135,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.99316330430151767}",25,0,-94.51492898914233,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
118,False,"{'a': 0.5, 'e': 0.99304607449221804}",20,0,-46.08493769719594,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.99292785163692654}",30,0,-152.779992111744,"{0: 19, 1: 7, 2: 1, 3: 0, 4: 3}",0
120,False,"{'a': 0.5, 'e': 0.99280863585386625}",20,0,-194.9732652860601,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
121,False,"{'a': 0.5, 'e': 0.99268842726225281}",25,15,-7.342470058187118,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.99256722598229485}",25,0,-225.13388648799105,"{0: 10, 1: 5, 2: 5, 3: 2, 4: 3}",0
123,False,"{'a': 0.5, 'e': 0.99244503213519353}",30,0,-158.37335403402935,"{0: 15, 1: 3, 2: 10, 3: 1, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.99232184584314287}",20,0,-185.35080792996055,"{0: 12, 1: 0, 2: 2, 3: 3, 4: 3}",0
125,False,"{'a': 0.5, 'e': 0.99219766722932901}",25,7,-55.62379685142548,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
126,False,"{'a': 0.5, 'e': 0.99207249641793072}",25,0,-125.60647932780758,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
127,False,"{'a': 0.5, 'e': 0.99194633353411854}",20,0,-138.61245791083198,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
128,False,"{'a': 0.5, 'e': 0.99181917870405556}",20,0,-71.29764444056988,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
129,False,"{'a': 0.5, 'e': 0.9916910320548965}",30,0,-106.24792203099213,"{0: 21, 1: 0, 2: 7, 3: 1, 4: 1}",0
130,False,"{'a': 0.5, 'e': 0.99156189371478809}",20,0,-80.4216983246626,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
131,False,"{'a': 0.5, 'e': 0.99143176381286846}",20,0,-68.01899306602739,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
132,False,"{'a': 0.5, 'e': 0.99130064247926775}",25,0,-114.14471239182686,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
133,False,"{'a': 0.5, 'e': 0.99116852984510717}",20,0,-122.05502035235125,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
134,False,"{'a': 0.5, 'e': 0.99103542604249928}",25,0,-194.65604088318372,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
135,False,"{'a': 0.5, 'e': 0.99090133120454793}",30,0,-206.38434591941086,"{0: 15, 1: 1, 2: 10, 3: 2, 4: 2}",0
136,False,"{'a': 0.5, 'e': 0.99076624546534797}",20,0,-128.63706188130877,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
137,False,"{'a': 0.5, 'e': 0.99063016895998512}",25,0,-121.97108364387594,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.99049310182453587}",25,0,-80.9832509904749,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.99035504419606735}",25,0,-65.0351812061592,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
140,False,"{'a': 0.5, 'e': 0.99021599621263712}",20,0,-22.02947401857972,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.99007595801329329}",20,0,-84.0106243920977,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
142,False,"{'a': 0.5, 'e': 0.98993492973807384}",30,0,-111.72916579564964,"{0: 16, 1: 4, 2: 9, 3: 1, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.98979291152800719}",25,2,-81.56344646425723,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 1}",1
144,False,"{'a': 0.5, 'e': 0.98964990352511151}",20,0,-94.47760904556789,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
145,False,"{'a': 0.5, 'e': 0.98950590587239473}",20,0,-103.96517009895904,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
146,False,"{'a': 0.5, 'e': 0.98936091871385456}",20,0,-119.4584462374909,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
147,False,"{'a': 0.5, 'e': 0.98921494219447814}",25,0,-177.3561832382468,"{0: 12, 1: 1, 2: 10, 3: 0, 4: 2}",0
